id,qid1,qid2,question1,question2,is_duplicate
334,1080,1081,Is it necessary to unlock bootloader before rooting Android phones?,How ClockWorkMod works for phones NOT having bootloader unlocked?,0
335,1082,1083,What is bss engineer?,Is it right option from being Android Developer to become Translator after 3 years in software development field?,0
336,1084,1085,Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?,How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,0
337,1088,1089,What does it feel like to be beautiful?,What does it feel like to be attractive and desired by many?,0
338,1090,1091,Is it possible to do CA after 12th Science?,What should be done further to apply for Ph.D fellowship from a government institution if I have cleared TIFR GS 2016 written test?,0
339,1094,1095,What is it like to study math at UCLA?,Could USC buy UCLA?,0
340,1098,1099,What are some Interesting mobile apps?,What are the best mobile apps for recruiters?,0
341,1102,1103,What are the various Batman movies in the series? (In order),What is the order of the Batman: Arkham games?,0
342,1106,1107,How much weight will I lose by not eating for a week?,How much weight do I lose by purging after every time I eat?,0
343,1110,1111,How do ATM machines work internally?,How does ATM transaction work?,0
344,1116,1117,What are most underrated date activities?,What is the most underrated activity?,0
345,1118,1119,What are some common facts every mechanical engineer should know?,What should all mechanical engineering students know?,0
346,1122,1123,"Why is Quora Digest filled with questions about Google, IQ, and China?",Why are there so many questions about IQ questions on Quora?,0
347,1124,1125,How would you destroy the world?,How can I destroy the world?,0
348,1128,1129,What are the differences between particles and molecules?,How can I entirely turn off syntax highlighting in Sublime Text for Golang?,0
349,1130,1131,"On Facebook, how can I add mutual friends?",Can I see an ordered list of the people with whom I share the most mutual friends on Facebook?,0
350,1132,1133,"What is Russian president Vladmir Putin like as a person, to his closest friends and family?","When did Putin become a public person, and what was his ""rise to fame"" like?",0
351,1134,1135,How do I start writing again?,How do I start writing?,0
352,1138,1139,How does it feel to be in a relationship than being single and how does our life changes when we are in a relationship?,Why do I want to stay single all my life after my breakup? Why do I feel like I am done with this serious relationship thing?,0
353,1142,1143,What are the non-invasive blood glucose monitoring systems abroad?,What are the non-invasive blood glucose monitoring systems in India?,0
354,1146,1147,"What does ""the more things change the more they stay the same"" mean?",Why do some people believe that life ends at death?,0
355,1148,1149,How do I start a solar energy business in egypt?,How do I start solar energy business?,0
356,1150,1151,"Can my PC with specs 2 GB DDR2@ RAM, Intel Core Duo 3.5 GHz, NVidia GeForce GT 610 3gb DDR3 run Assassin's Creed Syndicate and GTA V?",Does web Methods has future after 5 to 10 years from now?,0
357,1154,1155,How do I manage time for studies?,How do you manage time between work and study?,0
358,1156,1157,What is the academic calendar at XLRI?,Is it possible to give usmele step 1 after 8 years of gap?,0
359,1160,1161,Why do you want to be to president?,Would you want to be President?,0
360,1162,1163,Why India does not have friendly relations with it's neighbouring countries?,How are India's relations with the U.S.A.?,0
361,1168,1169,Can you play Asian Playstation 4 games on a European Playstation?,Can you play Asian Playstation 4 games on a European Playstation 4?,0
362,1172,1173,"Why did British engineering and manufacturing skills decline so dramatically in the 60s, 70s and 80s, especially when compared with Germany's?","Why did the UK have bad living standards in the 70s/80s, but better now?",0
363,1174,1175,How do I work with machine learning researchers after graduation?,How can undergraduate help with machine learning research?,0
364,1176,1177,What is the future for iOS Developers?,"As of 2015, what is the future of iOS development?",0
365,1180,1181,How do I be a boyfriend?,How does a girl get a boyfriend?,0
366,1190,1191,Can we weld steel and aluminum together?,Why can't steel and aluminum be welded together?,0
367,1192,1193,Which YouTube video has the highest like/dislike ratio?,How is it possible for a YouTube video to have more likes/dislikes than views?,0
368,1194,1195,What is solution to Kashmir issue?,Is it possible for the Sharif government to resolve the conflicts in Kashmir?,0
369,1196,1197,"If you dug a hole through the earth, and came out the other side what would happen?",If I dug a huge hole in the ground in a straight line what would happen when I reach the opposite side of the Earth? Would my head or my feet come out first?,0
370,1200,1201,What should I do for Web design?,What Is Web Design?,0
371,1204,1205,How do I find the phenotypic ratio?,What is a phenotype ratio?,0
372,1206,1207,Why does Saturn benefit a house it sits in slowly?,Why does time seem to pass so slowly when you are in a boring lecture?,0
373,1208,1209,Who is the most academically qualified Bollywood celebrity?,Which bollywood celebrity has his/her own jet?,0
374,1210,1211,"Is there a difference in quality between wired and wireless headphones? If so, why?",What are the differences between having BOSE headphones in the ear and around the ear?,0
375,1218,1219,You have given all statement as correct in UNCCD question in CSE prelim 2016. While many coachings have taken 2nd statement as wrong.?,Have you ever been told any condescending statement by your elders to prove their point in question ?,0
376,1220,1221,What would be today‰Ûªs technology had we never realized the value of binary numbers and harnessed it to produce digital technology?,Would the world be less technologically advanced if the two world wars had never occurred?,0
377,1222,1223,What is the best way to invest in oil and natural gas?,What is the minimum investment If I want to buy oil and gas royalties?,0
378,1224,1225,Is Arnab Goswami pro-BJP?,Are Quorans supportive of Modi?,0
379,1226,1227,What are some good sources for learning NuGet?,What is a good source to learn mathematica?,0
380,1228,1229,How would do you describe a person with lots of interests?,What are some examples of how to describe a person in a positive light?,0
381,1230,1231,Is it possible to turn off indicator light on a dahua camera?,What happens when you fly into a country but they refuse you entry?,0
382,1240,1241,What are some unusual aspects about politics and government in Hungary?,What are some unusual aspects about politics and government in Singapore?,0
383,1242,1243,What is the aim?,What is the aim of science?,0
384,1244,1245,How should I respond to my boss who fired me via email?,Is it okay to fire someone via email?,0
385,1246,1247,What are cheap and budget stay options in North Goa?,What are some nice budget places to stay in Goa?,0
386,1252,1253,"What is the opposite of ""homebird""?",What is the opposite of take off?,0
387,1254,1255,How do you know that your fiance loves you?,What are the things that you love the most about your fiance?,0
388,1256,1257,Can somebody explain to me how to do this problem with steps?,Can somebody explain to me how to do with steps this little problem?,0
389,1260,1261,Mathematical Fallacies: What is wrong in this proof that 2+2 = 5?,How would mathematics change had 2 plus 2 been equal to 5?,0
390,1262,1263,Will it help CIBIL score if I pay off my written-off amount?,Does my CIBIL score gets impacted if I only pay the minimum due amount?,0
391,1264,1265,Should the Hobbit be considered a canonical Tolkien work?,"What is the proper, canonical spelling of Middle-earth in Tolkien's works?",0
392,1266,1267,What do Japanese think about Malaysian?,What do Malaysians think about indians?,0
393,1268,1269,Is the Har Ki Dun trek easy?,Can I take 10 month baby to base camp of Har ki dun trek?,0
394,1274,1275,"If the United States has a female president, will her husband be called the first gentleman? What will Bill Clinton be called if Hillary is elected?","If a single woman were elected President of the United States, would she have a First Lady or First Gentleman?",0
395,1276,1277,How can I get MOOC/E-learning through online web and video courses related to filmmaking & production developed by Indian professors?,How can I get MOOCs/E-learning through online web and video courses related to photography developed by Indian professors?,0
396,1278,1279,Mobile Number Portability finally will start on May 3. Do network providers really agree to this?,"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?",0
397,1282,1283,Do you believe imperialism left a positive or negative legacy in the Indian subcontinent and in Africa?,Stepping into corporate life from being a student. How does that feel?,0
398,1284,1285,Why is C the best programming language?,"Lua and C, which one is the best programming language for embedded systems?",0
399,1288,1289,How can I have gay sex?,How can I be gay and dislike gay sex?,0
400,1290,1291,I'm transferring to a school with a US curriculum (taking the IBDP) from a Philippine school w/ a percent average grading system. How do I get my GPA?,"I am in tenth grade at a high school in Ontario, Canada. I would really love to do an exchange with a student from Europe. Any ideas on how I can go about doing this?",0
401,1295,1296,"Which option is better to reduce weight, swimming or gym?","Is it possible to burn 1000 calories each day? If yes, how?",0
402,1299,1300,Which payment gateway in Saudi that using to collect and pay money from/to multiple ?,"Which are all the stress free, relatively easy to get jobs in India that pay a decent sum of money and allow you to pursue other interests?",0
403,1303,1304,Is (male) circumcision required in Islam?,Is circumcision allowed in Islam?,0
404,1307,1308,How can I find out whom I sent a friend request to on Instagram?,How do you send a friend request on Instagram?,0
405,1311,1312,What are genders?,What is Gender Profiling?,0
406,1315,1316,How long can raw and cooked sausage last refrigerated?,How long does onigiri last if left refrigerated? How can it be kept longer?,0
407,1321,1322,Can we switch roles at Amazon?,How important is the role of TPM at Amazon?,0
408,1329,1330,Why hasn't Gayle Laakmann McDowell/careercup created a MOOC or a coding bootcamp?,"Is Gayle Laakmann McDowell planning on publishing any more books? If so, what is she working on?",0
409,1331,1332,What is fermentation? What are some products of fermentation?,What are some fermented products?,0
410,1333,1334,"What do you think about my short film, ""ColorShift""?",What do you think about my short film?,0
411,1335,1336,Should there be a war between India and Pakistan for Kashmir?,Why is there a conflict between India and Pakistan on Kashmir?,0
412,1337,1338,What is the best way to get you food stamp card?,How can I get food stamps in college?,0
413,1339,1340,"What are some real world example of encapsulation and abstraction and how are they different, yet related?",What are some examples of recursion in the real world?,0
414,1341,1342,What are ways to deal with fabricate security and insurance of android application?,How do find best applications for android security?,0
415,1343,1344,What is the best accordion for beginners to learn on?,How difficult would it be to learn how to play the accordion if I know how to play the piano?,0
416,1345,1346,Role of junior leaders in Indian army?,What is the role of the Indian army?,0
417,1351,1352,"If both the parents have blood group B+, can the child have A+?",If both my parents have blood group B+ can I be A+?,0
418,1355,1356,What is the essence of enlightenment?,What is enlightenment?,0
419,1359,1360,How should I answer if an interviewer asks me to sell a pen or any other product as I am pursuing a MBA?,What should be the answer if your interviewer asks you to sell his pen in front of him?,0
420,1361,1362,What are some great side dishes for a minestrone soup?,"68.44% of product passes the process spec.To pass, the product must be close to average. How many standard deviations away does 68.44% represent?",0
421,1363,1364,How much is the maximum gold you can take when flying from India to USA?,Why don't we fly east to go from India to USA?,0
422,1365,1366,"If my reservation status is RAC, does it mean the seat has been confirmed?","My family tickets have changed from RAC to CNF (Confirmed), will all of us have adjacent seats? After preparation of charts?",0
423,1367,1368,How does a new website protect its design and user interface from copycats?,What is a way to design a beautiful user interface?,0
424,1369,1370,How can I improve my skills?,How do I improve my learning skills?,0
425,1371,1372,Is it possible to use SPI between AVR and Raspberry pi?,What are the uses of Raspberry Pi and Intel Galileo?,0
426,1377,1378,What are some of the best photos?,What is a good photo?,0
427,1379,1380,Why students run away from home?,Why do people run away from home?,0
428,1381,1382,"In C++, what are access modifiers?",What are access modifiers in Java?,0
429,1383,1384,"Can you analyze history, or is it unscientific?","Can poetry be learned? Or is it a ‰ÛÏyou have it or not"" sort of thing?",0
430,1385,1386,What are some interesting theories about life after death?,What is the truth about life after death since there are some unconfirmed examples?,0
431,1387,1388,Do I need to get a tetanus shot again?,Do I need to get a tetanus shot?,0
432,1391,1392,What does it mean to hike up your skirt?,What are some cute ways to cut up a skirt?,0
433,1393,1394,How many new cars are sold by Maserati in the US each year?,Has Lotus actually sold any cars in the US over the last 10 year?,0
434,1399,1400,What is the difference between a turkey and a chicken?,"Why does turkey have darker, more flavorful dark meat than chicken?",0
435,1403,1404,What is the difference between IT and computer science engineering?,What are the differences between computer science and computer engineering?,0
436,1408,1409,Why we don't feel sympathy towards everyone?,Why don't I feel like talking to anyone?,0
437,1412,1413,What is the best site for downloading Kannada films in torrent form?,What's a good torrent site to download games from?,0
438,1414,1415,What are some of the most gruesome causes of death?,What causes death by hanging?,0
439,1416,1417,What is latency in telecom?,How does WiFi latency compare to Wired Ethernet?,0
440,1418,1419,Is senior residency at Hindu Rao Hospital teaching experience?,I am studying BS Computer science. I am in 7th semester and can't pass the basic programming course. Wasted alot money?,0
441,1420,1421,What behavioral adaptations do pandas have?,What behavioral adaptations do red pandas have?,0
442,1424,1425,What is the fastest production car?,What is the world's fastest street legal car?,0
443,1426,1427,How magnets are made?,What are magnets made of?,0
444,1428,1429,What's the street value of A332?,What is true value?,0
445,1430,1431,What are the qualifications for being an FBI or CIA agent?,What does it take to become an FBI agent?,0
446,1432,1433,What is the best operating system for the PC in 2014?,What is the best operating system for PC?,0
447,1434,1435,Why are major Indian TV channels absent in northeast?,How many TV channels are there in the world?,0
448,1436,1437,Hypothetical scenario: Our actual credit card system & banking never existed before. How would you implement a digital currency on the Internet today?,What are some inventions from the Neolithic Age?,0
449,1442,1443,What are the best horror novel in 2016?,What are some of the best horror novels of 2014?,0
450,1444,1445,What is the most beautiful thing that you have ever seen?,What is the most beautiful thing ever built?,0
451,1446,1447,What are the most important things for living a good life?,Why should I live?,0
452,1455,1456,Is there a different price over the Internet than in person when trying to book a room in Mexico City from the US?,Why is Mexico City dangerous?,0
453,1457,1458,Why did Venuetastic fail?,How much does it cost to book a good wedding venue?,0
454,1459,1460,"Which were some of the most amazing responses you have got with Cortana, Siri or Amazon Echo?",What are some of the most amazing concepts given by theoretical physicists which cannot be proved in reality or are too advanced to prove with available resources/technologies?,0
455,1461,1462,What is most important in life - money or values?,What is more important money or respect?,0
456,1467,1468,What are the multiple uses of hollow columns?,What is the standard size of a column for building?,0
457,1469,1470,Which are some commonly mispronounced words?,What are some of the most commonly mispronounced English words?,0
458,1471,1472,Why is it that every teen girl has a crush on her mathematics teacher? Is it the intelligence or their behavior?,Do girls get crushes on their male teachers?,0
459,1475,1476,Where can I buy best quality commercial innerspring sofa bed in Chatswood West?,Where can I get quality services for cleaning paint and paint removal in Chatswood?,0
460,1477,1478,"If you screenshot someone's Instagram video, will they get notified that you screenshotted it?",If I screenshot someone's live video on Instagram do they get notified?,0
461,1481,1482,What sentences use all 26 letters without any repeats?,"Pangrams: In English, using all the letters of the alphabet exactly once, and picking one dictionary, can you make a sentence, or any set of common English words?",0
462,1483,1484,What is the effect of hypodensity of white matter in parietal lobe of brain?,How do I increase grey matter in the brain?,0
463,1485,1486,What is your job and your salary? Are you satisfied with your current job?,My IQ is currently 83. Can I get a high paying job or ever get a six figure salary job?,0
464,1489,1490,What is the opera song with a choir used for horror movies?,"What are an opera choir's rights? Do we get paid for rehearsals? Are we entitled to catering throughout rehearsals, etc. (part of an opera company)?",0
465,1491,1492,Would a woman in the Catholic Church be shunned or ostracized for having a sexual relationship with a priest?,What would happen if a woman sued the Catholic Church for not allowing them to become a priest?,0
466,1493,1494,"If a Canadian gets a tattoo in America, do they have to declare the cost when returning to Canada?",I'm a Canadian PR that just finished studying in the US. I got offered an H1-B. Should I take the offer or return to Canada?,0
467,1497,1498,Why has there been a scarcity of high quality fantasy films?,Briefly describe how you would test a mineral for each of these properties?,0
468,1501,1502,What do think of when you hear the word elect?,"What do you think when you hear the word, ""Japan""?",0
469,1503,1504,Which is the best programming language to learn in 2017?,How should you start learning programming?,0
470,1507,1508,How can I calculate 72 hours from now?,How do I calculate a semester percentage from SGPA in ITER?,0
471,1509,1510,How hard was it for Jimmy Wales to immigrate to the UK?,Why does Jimmy Wales choose to reside in London instead of the US?,0
472,1511,1512,Cochin to London etihad is the change over time of 1hr sufficient in Dubai?,What is difference between China and the United States to send gifts?,0
473,1513,1514,What is Quora's algorithm for sorting answers to a single question?,How does the ranking of answers on Quora work?,0
474,1519,1520,Jawed habib haircut prices?,DO YOU THINK IF MY TREE FALLS ON YOUR PROPERTY IT SHOULD BE MYINE OR YOUR RESPONSABILITY?,0
475,1521,1522,Does any one have ebook of answers of wren and Martin grammer and composition?,Why did barvaria join Germany?,0
476,1523,1524,What is [math]x[/math] if [math]x+\left(\dfrac{1}{x}\right) =0[/math]?,What is [math]\mathop {\lim}\limits_{x \to 0^+}\frac{1}{x}^\frac{-x}{x+1}[/math]?,0
477,1525,1526,Whenever its about ‰ÛÏher‰Û its a very special feeling. Tried hard to forget her but she's alwys spcl. Should I stop talking to her even as a friend ?,How should I stop thinking about someone?,0
478,1529,1530,How has the vertebral column anatomy changed through time?,"When calculating bullet spin; MV X 12 (twist rate in inches) X 60=RPM, does distance to target matter?",0
479,1531,1532,Which acoustic bass guitar is the best?,How do you go about maintaining an acoustic bass guitar?,0
480,1533,1534,Which universities in the US offer more management content in the management information systems curriculum?,Which universities in the US offer a more technical content in the management information systems curriculum?,0
481,1535,1536,My maths have become extremely weak and I am in class 12th. How can I improve my maths so that I can clear my JEE exams next year?,"I want to do a BBA. I only got 62% in class 12 (non maths). I am taking 1 year drop for the entrance exam of Symbiosis, GGSIPU, etc. Should I also give an improvement next year?",0
482,1537,1538,"What is a ""function"" in the context of functional programming?",What is functional programming?,0
483,1543,1544,How is the word 'valiant' used in a sentence?,How is the word 'contorted' used in a sentence?,0
484,1545,1546,Why I feel dizzy when I am playing some 3D games but others do not make me feel like this? Are there any tricks in developing 3D games to avoid this?,3D Rad: How can I make a mission-based game?,0
485,1547,1548,How do payroll companies make money?,How companies make money?,0
486,1549,1550,What are the most underrated and overrated movies you've seen?,What are the most overrated movies?,0
487,1551,1552,For what use cases do you think deep learning and neural networks overkill and simpler models work better in practice?,"In deep Q learning, how we update the weight in neural network?",0
488,1555,1556,Will a Fitbit accurately track my activity if I am riding a bike?,What is the most accurate wearable item for activity  on the market today (i.e. Jawbone or Fitbit)?,0
489,1559,1560,Which free online language classes would allow me to go from 0 to fluent in Portuguese given their provided courses of study?,Suggest me some free online courses that provides certificates?,0
490,1561,1562,How do the PM and Prez get women?,I worked for 1month and absconded from accenture within bond period will they take any legal action?will it effect when joining other company?,0
491,1567,1568,What if I shift my job from e-commerce to cloud computing?,What computer science courses should I take If I want to join a product based or e-commerce company?,0
492,1571,1572,What is the name of the song in which picturized on Madhuri Dixit and Ranbir Kapoor and is from which movie?,What is the name of the song in which Salman Khan teases Madhuri Dixit by using a slingshot and is from which movie?,0
493,1573,1574,What is the function of nucleoplasm in a plant cell?,What is the function of centrosomes in plant cells?,0
494,1579,1580,Could CAT exam and MAT exam take place on same day (4th December 2016)?,Is it necessary to learn vedic maths and spending time on short tricks for cat 2016 exam?,0
495,1581,1582,What mythical creatures are in the Bible?,What do mythical creatures eat?,0
496,1583,1584,"Which one is good: oral, anal, or vaginal sex?","We had consensual sex, then he forced me into having anal sex. If I press charges, will the fact that I consented to sex vaginally ruin my case?",0
497,1585,1586,"What are the winter weather conditions like in Cincinnati, OH?",What is the weather like during winter in Tel Aviv?,0
498,1589,1590,How do we improve reading skills of children?,How do I improve my reading skill?,0
499,1593,1594,Do you lose nutrients & calories when you have diarrhea?,"Will eating 2,000 calories a day make me lose weight?",0
500,1597,1598,What is the benefit of going Walking every morning?,Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?,0
501,1599,1600,Are there any martial artists who started later in life and went on to become champions?,What are the pros and cons of bringing a small claims case before the People's Court on TV?,0
502,1603,1604,Which framework should i choose for cross-platform mobile development?,What cross-platform should I choose while developing a mobile application for an enterprise?,0
503,1609,1610,What area of games programming is most mathematically involved and suited to a math major?,"If one was to go about learning Python to be able to apply it to his area of study (Major in Chem minor in Math), what applications of Python could be most useful when applying for a job?",0
504,1611,1612,What are the differences between larceny and robbery?,What is the difference between the words burglary and robbery?,0
505,1613,1614,Is graph theory counted as a prerequisite for machine learning?,Is Graph Theory a nice-to-have course to have for machine learning?,0
506,1615,1616,What are the best schools to study Natural language Processing in India?,Which are the best schools for studying natural language processing?,0
507,1617,1618,Will Ted Cruz supporters vote for Donald Trump?,Will Donald Trump support Ted Cruz for president?,0
508,1621,1622,"Is there a ""blind trust"" provision for American Presidents, and how is it enforced?",Who will be the new American president? Why,0
509,1623,1624,How do I make a girl who is a newly joined junior in my college to fall in love with me?,What do you have to do to become an airline pilot?,0
510,1627,1628,How many words are actually needed to learn for the GRE and what is the correct method to prepare for the GRE verbal? ?,How can I get best score in GRE?,0
511,1631,1632,What are some of your own personal Moon in the 3rd House stories and experiences?,What are some of your own personal Jupiter in the 1st house stories and experiences?,0
512,1635,1636,Is government liasioning legal in India?,Is UberMoto legal in India?,0
513,1637,1638,"What's the meaning of ""I gotta take a shit!""?","What does ""I fancy you"" mean?",0
514,1639,1640,What is the best place to celebrate New Year 2017 in Hyderabad?,Which is the best place to celebrate New Year 2015 in Hyderabad?,0
515,1641,1642,What is working hard (not in terms of studying)?,What is working hard in terms of studying?,0
516,1643,1644,Can I upgrade Windows 32 bit to 64 bit Windows 8.1?,I have Windows 7 32 bit. Can I upgrade to 64 bit Windows 10 (since it's a free upgrade)?,0
517,1647,1648,Why is Timbaland famous?,Which brand of drums does Timbaland use?,0
518,1653,1654,What are common required and elective courses in agriculture?,What are common required and elective courses in philosophy?,0
519,1657,1658,Who is capable of ending Google's monopoly in search?,Will Google's virtual monopoly in web search ever end? When?,0
520,1659,1660,Can an auto immune disease cause insomnia?,What causes Auto Immune diseases?,0
521,1661,1662,Does GTA IV work in Windows 7?,Does GTA IV work on Windows 10?,0
522,1671,1672,Why do you love her?,What do you love? Why?,0
523,1673,1674,I missed the IIT. What should I do?,"When should I expect my joining date for Accenture, The timeline shows its 24 dec 2016 and I havent recieved any updates from the Organisation?",0
524,1677,1678,How can one improve a credit score by 100 points?,Which army would win if fights occured between US troops from WW2 and US troops from Vietnam war?,0
525,1679,1680,My crush likes me back; what do we do now?,My sister told my crush that I like her without me asking her to do so. What should I do now?,0
526,1681,1682,Who is the most powerful character in Skyrim apart from Alduin?,Who would win the Dovahkiin from Skyrim or Kylo ren?,0
527,1683,1684,Can a Muslim guy date a non Muslim girl? Is it based on how religious the individual is or are there other factors to it?,What do non-Muslims expect from Muslims?,0
528,1685,1686,What are your comments on this picture?,What can I comment to my girlfriend's pictures?,0
529,1687,1688,When are the roads most slippery during rain?,During rain what should I do for precautions of flooding road?,0
530,1689,1690,How do you prove the Heisenberg uncertainty principle experimentally?,What's the easiest way to prove the Heisenberg uncertainty principle?,0
531,1697,1698,What's it like dating a gangster?,I'm 51 can I date a man in his 30's?,0
532,1701,1702,How do I get over the fear of everything?,How do I get over my fears?,0
533,1703,1704,Which city in India has the best weather?,Which city in Argentina has the best weather?,0
534,1709,1710,Does my life hold any significance to the world/universe?,"Do we truly have any purpose in life? Or do we create a purpose to make ourselves feel significant in the very vast world, or to make ourselves feel that our existence in the vast world is required?",0
535,1715,1716,How do you get a micro SIM card out of an iPhone 4?,Does an iPhone 4 use a micro SIM card?,0
536,1719,1720,"If one of the people catches feelings, in an established friends with benefits arrangement, how can we drop the feelings going forward?","In an age where we constantly see the best of other people's work and lives, how do we not feel dissatisfied with our own work and lives?",0
537,1723,1724,"If climate change scientists are right, why do they worry so much about public relations and packaging?",What kinds of rude comments will a man get in the United States if he dates a woman 30 years younger than him?,0
538,1725,1726,What is the main reason for all the problems in India?,"If Frances Farmer (the actress) was still around today, what would she think about Donald Trump?",0
539,1727,1728,What is a good substitute for milk in macaroni and cheese?,What are some good cheese substitutes for Havarti cheese?,0
540,1729,1730,How can constipation cause dizziness?,Can constipation cause dizziness?,0
541,1731,1732,"Is it possible to make doctor's review app using which patients can share anonymously all treatment given by that doctor, suggested medicines,?",What is the warranty period of the Mi In-Ear Headphones Pro?,0
542,1735,1736,What are the best films that take place in one room?,I want to get thrilled. Which movie should I watch?,0
543,1737,1738,Is it normal if your sperm doesn't shoot out during ejaculation?,How do I ensure that semen doesn't come out from my penis after I ejaculate?,0
544,1741,1742,"What's the next number in the series 1,1,1,2,2,2,6,6,6?","What would be the next number in the series-2,15,4,12,6,7? ...?",0
545,1745,1746,"I wish to start investing in Equity and Mutual Funds. Where should I open Demat account for best rates, transaction charges and so on? I am NRI.",I am 17 and I want to invest money in stock market where should I start?,0
546,1751,1752,"What should I major in (College) that won't leave me unemployed (other than Engineering, Law, Medicine)?",What should I do in a Group discussion when others keep fighting and won't let me talk even after I ask them to let me?,0
547,1753,1754,Who are the best custom kiosk manufacturers in India?,Who is the best manufacturer of customized kiosk in India?,0
548,1757,1758,Is there any architectural complex/center/forum/hub anywhere in the world? As a third space.,Is there any online software available for calculating the time and space complexity of a Java program in Big O?,0
549,1759,1760,How many keywords are there in AutoHotkey Scripting Programming Language in the latest version?,How many keywords are there in AutoIt script programming language in the latest version?,0
550,1761,1762,What is the hardest thing(s) about raising children in Ukraine?,What is the hardest thing(s) about raising children in Mexico?,0
551,1763,1764,What is the best source to learn stock market online?,What is the best presentation software for you tube video making (both paid and free)?,0
552,1765,1766,Why does India sabotage and badmouth all economic projects which its neighbouring counries have in the world?,Why does India always sabotage and badmouth all economic projects Pakistan have with other countries in the world?,0
553,1767,1768,What does a wet vagina feel like for a man?,Why does it feel like there is a ball in my vagina?,0
554,1769,1770,Will Thursday Night Football increase ratings for CBS on Thursday nights rather than the Big Bang Theory?,Why is The Big Bang Theory (TV series) so popular? Why is it so popular with mainstream viewers?,0
555,1771,1772,How can I grow taller at 17?,How can you increase your height?,0
556,1783,1784,I trust people very quickly and as a result always have been betrayed? What do I do not to trust people and still hold the relation simple?,Do you think trusting other people is wise enough after being betrayed by someone else?,0
557,1785,1786,Who are the best headhunters in Mumbai?,Who are the best headhunters?,0
558,1787,1788,What is the DHP vaccine for dogs for? Is it necessary?,Can rabies vaccine for humans be used for dog?,0
559,1789,1790,What are the differences between Asia and Africa? What are the similarities?,What is difference between Cableway and Ropeway?,0
560,1793,1794,Why is contract law important?,Why is maritime law so important?,0
561,1795,1796,When will moto G3 (Moto G 3rd gen 2015) get Android 7.0 (Nougat) update?,How long will I get OS updates on moto g3?,0
562,1797,1798,Prove that SNR of power = (SNR of voltage) sequare?,Do you get paid when you do fight companions on the JRE or is it just for fun/exposure?,0
563,1799,1800,What are the best riddles by the Riddler (Batman)?,Who was the best villain in the Nolan Batman films?,0
564,1813,1814,How do you cancel USAA auto insurance?,Auto insurance Broker fee in CALIFORNIA?,0
565,1815,1816,Why have I been so angry lately?,Why am I so angry?,0
566,1817,1818,"How do you form a hypothesis, since you haven't done any testing and don't have any test results yet?",Why do people who have done master's degrees in any field advise you not to do a master's?,0
567,1819,1820,What are the consequences of trolling?,What are some consequences of blackouts?,0
568,1821,1822,"I am frightened of Arvind kejriwal, he may kill me, What shall I do?",What is the risk of selling bitcoin and accepting credit card payment?,0
569,1823,1824,What disadvantages do Apple computers/laptops have over other brands?,Why do so many people in the US have an Apple-branded phone or laptop?,0
570,1835,1836,How realistic is it to get a second bachelors degree in Math as an international student holding a first bachelors degree in Accounnting?,A baby lion raised domestic to the age of 4 ( human years) can survive if he would be released in the wild?,0
571,1837,1838,How is it possible to believe in the Old Testament in which there is just one God and at the same time believe in Trinity?,Searching practical application of 6 bit adc?,0
572,1843,1844,Is Bihar really developing under mahagathbandhan sarkar?,Is Bihar developing under the leadership of Chief Minister Nitish Kumar?,0
573,1845,1846,How can homeopathic medicine not have side-effects?,What are the side effects of homeopathic medicines?,0
574,1847,1848,How do you determine what's a good investment brokerage and what's not?,Which is best music player under 5000 inr?,0
575,1849,1850,What is the scope of supply chain management in India?,"What is the future scope for procurement, logistics, operations and supply chain management?",0
576,1851,1852,Are the number of pistons equal to number of number of cylinders?,How do I join WikiLeaks?,0
577,1857,1858,How did you managed long distance relationship?,How can long distance relationships be successful?,0
578,1859,1860,What are the chances that I could just ask a rich person for a million dollars and actually have them give it to me?,I'm 26 and just hit 4 million dollars. I'm shooting for 40 by 35. Am I wrong thinking that living in the most expensive area of the country will give me better opportunities?,0
579,1861,1862,What happened to Hong Kong movies and TV drama? Why did they decline so much?,Will British citizens be allowed to move to the EU and live there after Brexit happens?,0
580,1865,1866,What are the best wallpaper apps for iPhones?,What's the best iPhone wallpaper?,0
581,1867,1868,"How do I deactivate the app ""App Lock""?",How do I recover the photos in app lock vault in an Android mobile?,0
582,1869,1870,In what format should I send book for printing?,Online test centers business?,0
583,1875,1876,What is rank at 550 marks in NEET 2016?,What will be my rank in NEET 2016 if my marks is 391?,0
584,1877,1878,Is the dynamic/flexi-pricing harsh on middle class people?,SEO or SMO which help to get more business?,0
585,1879,1880,Can I overdraft my Wells Fargo account?,What is Wells Fargo's overdraft policy?,0
586,1883,1884,How much do olympic gold medalists earn?,How much does an Olympic gold medalist earn in China?,0
587,1889,1890,Is it true that the cost of living in SV and the Bay Area is so high that new grads making 150k+ have a hard time finding affordable housing?,Does Amazon.com reduce the cost of living in high-cost-of-living areas like Silicon Valley?,0
588,1891,1892,What's the best school in the world?,What are the best schools in the world to study cinema?,0
589,1895,1896,What is value of 0?,Why does zero factorial (0!) equal one (1)?,0
590,1905,1906,What are symptoms of autism in kids?,What are the symptoms of autism in girls?,0
